"Style","XX"
"---","---"
"vodni_prvky","akumulace_balvanu"
"vodni_prvky","akumulace_sedimentu"
"vodni_prvky","balvanity_skluz"
"cesty_apod","cesta_brod"
"eroze","brehova_natrz"
"cesty_apod","cesta"
"cesty_apod","cesta_stara"
"eroze","eroze_plosna"
"eroze","eroze_struzkova"
"odvodneni","horska_vpust"
"ostatni","jine"
"cesty_apod","cesta_lavka"
"ostatni","lom"
"ostatni","manipulacni_prostor"
"vodni_prvky","mokrad_mapovany"
"cesty_apod","cesta_most"
"eroze","mura"
"vodni_prvky","nahon"
"cesty_apod","cesta_most_neexistujici"
"odvodneni","odvodnovaci_strouha"
"vodni_prvky","opevneni_brehu"
"ostatni","paseka"
"vodni_prvky","plocha_pro_rozliv"
"vodni_prvky","poldr"
"eroze","potvrzena_trasa_bleskove_povodne"
"vodni_prvky","prah_toku"
"vodni_prvky","pramen"
"vodni_prvky","prameniste"
"cesty_apod","propustek"
"vodni_prvky","prehrazka"
"vodni_prvky","prehrazka_v_prikopu"
"ostatni","priblizovaci_linka"
"eroze","eroze_sesuv"
"vodni_prvky","skalni_stupen"
"vodni_prvky","skalni_usek_koryta"
"ostatni","skladka_stara_zatez"
"vodni_prvky","soutok"
"vodni_prvky","spadovy_stupen"
"ostatni","strom"
"ostatni","strz"
"vodni_prvky","svejl"
"odvodneni","sachta"
"odvodneni","sachta_zasypana"
"vodni_prvky","tok_domapovany"
"odvodneni","tok_upraveny_otevreny_kanalizovany"
"odvodneni","tok_zatrubneny"
"odvodneni","trubka_odtok_ze_sachty"
"odvodneni","trubka_poskozena"
"odvodneni","trubka_pritok_do_sachty"
"vodni_prvky","tun"
"vodni_prvky","vedlejsi_koryto"
"eroze","eroze_vyplavovy_kuzel"
"odvodneni","trubka_vyust_odvodneni"
"vodni_prvky","vyvraty_v_koryte"
"vodni_prvky","zamokrena_plocha"
"ostatni","zed"
